"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
20012029,"09/01/2022 06:55:00 AM","09/01/2022","WEAPON LAWS","151","WEAPON LAWS: Felony","1900 E AVENUE R-3, PALMDALE, CA 93550","1900 E AVENUE R-3","PALMDALE","93550","022-11710-2610","2610","11710","NO","CA01900W9","PALMDALE",-118.095,34.57,2
20010719,"08/30/2022 08:02:00 PM","08/30/2022","WEAPON LAWS","151","WEAPON LAWS: Felony","WELLAND AVE AND LIVE OAK AVE, TEMPLE CITY, CA 91780","WELLAND AVE AND LIVE OAK AVE","TEMPLE CITY","91780","922-09905-0525","0525","09905","NO","CA0190005","TEMPLE",,,2
20009922,"08/30/2022 04:15:00 AM","08/30/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","SAN GABRIEL BLVD AND MOUNTAIN VISTA DR, SOUTH SAN GABRIEL, CA 91770","SAN GABRIEL BLVD AND MOUNTAIN VISTA DR","SOUTH SAN GABRIEL","91770","922-09861-0572","0572","09861","NO","CA0190005","TEMPLE",-118.089,34.044,2
20004979,"08/24/2022 06:45:00 PM","08/24/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","8800 E LAS TUNAS DR, TEMPLE CITY, CA 91780","8800 E LAS TUNAS DR","TEMPLE CITY","91780","922-09645-0522","0522","09645","NO","CA0190005","TEMPLE",-118.075,34.103,2
20012619,"08/23/2022 06:00:00 AM","09/01/2022","FRAUD AND NSF CHECKS","101","WORTHLESS DOCUMENTS/FORGERY: NSF/Account Closed/Checks - Over $200","6100 LEONA JOAN AVE, PICO RIVERA, CA 90660","6100 LEONA JOAN AVE","PICO RIVERA","90660","922-05420-1515","1515","05420","NO","CA0190015","PICO RIVERA",-118.081,33.986,2
20012627,"09/01/2022 04:36:30 PM","09/01/2022","DRUNK / ALCOHOL / DRUGS","201","DRUNK: Alcohol","39400 10TH ST W, PALMDALE, CA 93551","39400 10TH ST W","PALMDALE","93551","922-11746-2619","2619","11746","NO","CA01900W9","PALMDALE",-118.146,34.599,2
20011323,"08/31/2022 01:46:00 PM","08/31/2022","NARCOTICS","183","Under The Influence Of Narcotic 11550 HS. Does Not Incl 647(f)PC","5800 ROSEMEAD BLVD, TEMPLE CITY, CA 91780","5800 ROSEMEAD BLVD","TEMPLE CITY","91780","922-09929-0522","0522","09929","NO","CA0190005","TEMPLE",-118.073,34.105,2
20012683,"09/01/2022 12:01:30 PM","09/01/2022","FRAUD AND NSF CHECKS","117","IDENTITY THEFT (GOODS/SERVICES/CREDIT)","9200 ALMO ST, PICO RIVERA, CA 90660","9200 ALMO ST","PICO RIVERA","90660","922-05423-1514","1514","05423","NO","CA0190015","PICO RIVERA",-118.081,33.996,2
20009790,"08/29/2022 09:00:00 PM","08/29/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","14 FWY AND PALMDALE BLVD, PALMDALE, CA","14 FWY AND PALMDALE BLVD","PALMDALE",,"922-11594-2611","2611","11594","NO","CA01900W9","PALMDALE",-118.133,34.581,2
20012097,"09/01/2022 11:30:00 PM","09/01/2022","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","20300 E VIA VERDER, COVINA HILLS, CA","20300 E VIA VERDER","COVINA HILLS",,"922-04224-0872","0872","04224","NO","CA0190008","SAN DIMAS",,,1
20012649,"08/29/2022 06:00:00 PM","09/01/2022","FRAUD AND NSF CHECKS","117","IDENTITY THEFT (GOODS/SERVICES/CREDIT)","3500 SANDOVAL AVE, PICO RIVERA, CA 90660","3500 SANDOVAL AVE","PICO RIVERA","90660","922-05422-1511","1511","05422","NO","CA0190015","PICO RIVERA",-118.065,34.017,2
20009660,"08/29/2022 07:25:00 PM","08/29/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","LIVE OAK AVE AND MAYFLOWER AVE, ARCADIA, CA 91006","LIVE OAK AVE AND MAYFLOWER AVE","ARCADIA","91006","922-09846-0584","0584","09846","NO","CA0190005","TEMPLE",-118.009,34.11,2
20011853,"09/01/2022 01:10:00 AM","09/01/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","1900 PARKWAY DR, EL MONTE, CA 91733","1900 PARKWAY DR","EL MONTE","91733","922-09959-0577","0577","09959","NO","CA0190005","TEMPLE",-118.025,34.04,2
20011829,"09/01/2022 12:41:00 AM","09/01/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","RIO HONDO BIKE TRL AND PECK RD, SOUTH EL MONTE, CA 91733","RIO HONDO BIKE TRL AND PECK RD","SOUTH EL MONTE","91733","922-09957-0563","0563","09957","NO","CA0190005","TEMPLE",,,2
20009714,"08/29/2022 08:38:54 PM","08/29/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","PALMER ST AND WILLOW ST, COMPTON, CA","PALMER ST AND WILLOW ST","COMPTON",,"922-11398-2822","2822","11398","NO","CA0190042","COMPTON",-118.217,33.898,1
20010651,"08/30/2022 07:05:00 PM","08/30/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","PINE STREET ST AND GARVEY AVE, ROSEMEAD, CA 91770","PINE STREET ST AND GARVEY AVE","ROSEMEAD","91770","922-09897-0532","0532","09897","NO","CA0190005","TEMPLE",-118.092,34.062,2
20012782,"09/01/2022 08:30:00 PM","09/01/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","AVENUE K AND GADSDEN AVE, LANCASTER, CA","AVENUE K AND GADSDEN AVE","LANCASTER",,"922-15203-1123","1123","15203","NO","CA0190024","LANCASTER",-118.143,34.675,2
20012184,"09/01/2022 09:55:00 AM","09/01/2022","WEAPON LAWS","151","WEAPON LAWS: Felony","4000 TEMPLE CITY BLVD, ROSEMEAD, CA 91770","4000 TEMPLE CITY BLVD","ROSEMEAD","91770","922-09978-0531","0531","09978","NO","CA0190005","TEMPLE",-118.057,34.081,2
20012790,"09/01/2022 09:07:15 PM","09/01/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","AVENUE K AND GADSDEN AVE, LANCASTER, CA","AVENUE K AND GADSDEN AVE","LANCASTER",,"922-15206-1124","1124","15206","NO","CA0190024","LANCASTER",-118.143,34.675,2
20012833,"09/01/2022 10:18:00 PM","09/01/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","5TH ST W AND AVENUE K, LANCASTER, CA","5TH ST W AND AVENUE K","LANCASTER",,"922-15210-1124","1124","15210","NO","CA0190024","LANCASTER",-118.139,34.674,2
20012846,"09/01/2022 10:34:00 PM","09/01/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","AVENUE K AND ELM AVE, LANCASTER, CA","AVENUE K AND ELM AVE","LANCASTER",,"922-15212-1124","1124","15212","NO","CA0190024","LANCASTER",-118.14,34.675,2
